t_ms i_pApF mV
7.39999999999418 -1.69333366813807 -75.5898285037848
7.5 -1.71820859651308 -75.5898055532796
7.60000000000582 -1.63363397811831 -75.5897826027744
7.69999999999709 -1.64358392645493 -75.5897596522693
7.80000000000291 -1.66348382312819 -75.5897367017641
7.89999999999418 -1.70825864817645 -75.5897137512589
8 -1.71323356481132 -75.5876252552876
8.10000000000582 -1.71323356481132 -75.5875995061394
8.19999999999709 -1.66348382312819 -75.5875737569912
8.30000000000291 -1.65353387479156 -75.587548007843
8.39999999999418 -1.69333366813807 -75.5875222586949
8.5 -1.66845885482994 -75.5874965095467
8.60000000000582 -1.67840880316657 -75.5874707603985
8.69999999999709 -1.69333366813807 -75.5874450112503
8.80000000000291 -1.6883587515032 -75.5874192621022
8.89999999999418 -1.67343377146482 -75.587393512954
9 -1.66348382312819 -75.5850503404702
9.10000000000582 -1.69333366813807 -75.5850220030539
9.19999999999709 -1.64358392645493 -75.5849936656376
9.30000000000291 -1.67840880316657 -75.5849653282213
9.39999999999418 -1.72318362821483 -75.5849369908049
9.5 -1.65353387479156 -75.5849086533886
9.60000000000582 -1.64855895815669 -75.5848803159723
9.69999999999709 -1.64855895815669 -75.584851978556
9.80000000000291 -1.72318362821483 -75.5848236411396
9.89999999999418 -1.61373408144505 -75.5847953037233
10 -1.65850890649332 -75.5822165988378
10.1000000000058 -1.66348382312819 -75.5821858727482
10.1999999999971 -1.66845885482994 -75.5821551466587
10.3000000000029 -1.67840880316657 -75.5821244205691
10.3999999999942 -1.6883587515032 -75.5820936944796
10.5 -1.62865894641655 -75.58206296839
10.6000000000058 -1.66845885482994 -75.5820322423005
10.6999999999971 -1.65850890649332 -75.5820015162109
10.8000000000029 -1.64358392645493 -75.5819707901214
10.8999999999942 -1.66348382312819 -75.5819400640318
11 -1.62368402978168 -75.5791439898827
11.1000000000058 -1.61870899807993 -75.5791110555744
11.1999999999971 -1.67840880316657 -75.5790781212661
11.3000000000029 -1.61870899807993 -75.5790451869578
11.3999999999942 -1.61373408144505 -75.5790122526495
11.5 -1.59880910140667 -75.5789793183412
11.6000000000058 -1.65353387479156 -75.5789463840329
11.6999999999971 -1.66845885482994 -75.5789134497246
11.8000000000029 -1.65353387479156 -75.5788805154163
11.8999999999942 -1.62865894641655 -75.578847581108
12 -1.67840880316657 -75.5758505590537
12.1000000000058 -1.64358392645493 -75.5758155799077
12.1999999999971 -1.63860889475318 -75.5757806007618
12.3000000000029 -1.63860889475318 -75.5757456216158
12.3999999999942 -1.63363397811831 -75.5757106424699
12.5 -1.59880910140667 -75.5756756633239
12.6000000000058 -1.60378413310843 -75.575640684178
12.6999999999971 -1.6087590497433 -75.575605705032
12.8000000000029 -1.59880910140667 -75.5755707258861
12.8999999999942 -1.65850890649332 -75.5755357467402
13 -1.58885915307004 -75.5723526444591
13.1000000000058 -1.67343377146482 -75.5723157711505
13.1999999999971 -1.63860889475318 -75.5722788978419
13.3000000000029 -1.64855895815669 -75.5722420245333
13.3999999999942 -1.66845885482994 -75.5722051512246
13.5 -1.63860889475318 -75.572168277916
13.6000000000058 -1.65850890649332 -75.5721314046074
13.6999999999971 -1.7032836164747 -75.5720945312988
13.8000000000029 -1.6087590497433 -75.5720576579902
13.8999999999942 -1.64855895815669 -75.5720207846815
14 -1.65353387479156 -75.5686653135969
14.1000000000058 -1.63860889475318 -75.5686266865985
14.1999999999971 -1.66348382312819 -75.5685880596002
14.3000000000029 -1.63363397811831 -75.5685494326019
14.3999999999942 -1.65850890649332 -75.5685108056035
14.5 -1.65353387479156 -75.5684721786052
14.6000000000058 -1.67343377146482 -75.5684335516069
14.6999999999971 -1.66348382312819 -75.5683949246085
14.8000000000029 -1.58388423643517 -75.5683562976102
14.8999999999942 -1.66845885482994 -75.5683176706118
15 -1.62865894641655 -75.5648026137633
15.1000000000058 -1.66348382312819 -75.5647623641787
15.1999999999971 -1.67343377146482 -75.5647221145941
15.3000000000029 -1.65353387479156 -75.5646818650095
15.3999999999942 -1.69333366813807 -75.5646416154249
15.5 -1.57890920473342 -75.5646013658403
15.6000000000058 -1.67840880316657 -75.5645611162556
15.6999999999971 -1.6883587515032 -75.564520866671
15.8000000000029 -1.5938341847718 -75.5644806170864
15.8999999999942 -1.67343377146482 -75.5644403675018
16 -1.6087590497433 -75.5607776553018
16.1000000000058 -1.70825864817645 -75.560735905228
16.1999999999971 -1.65353387479156 -75.5606941551542
16.3000000000029 -1.68338371980144 -75.5606524050804
16.3999999999942 -1.61373408144505 -75.5606106550066
16.5 -1.63363397811831 -75.5605689049328
16.6000000000058 -1.69830869983982 -75.5605271548589
16.6999999999971 -1.62865894641655 -75.5604854047851
16.8000000000029 -1.69333366813807 -75.5604436547113
16.8999999999942 -1.64358392645493 -75.5604019046375
17 -1.62865894641655 -75.5566026479203
17.1000000000058 -1.66845885482994 -75.5565595109272
17.1999999999971 -1.67840880316657 -75.5565163739341
17.3000000000029 -1.62865894641655 -75.556473236941
17.3999999999942 -1.65353387479156 -75.5564300999479
17.5 -1.6087590497433 -75.5563869629547
17.6000000000058 -1.69333366813807 -75.5563438259616
17.6999999999971 -1.7032836164747 -75.5563006889685
17.8000000000029 -1.64855895815669 -75.5562575519754
17.8999999999942 -1.65353387479156 -75.5562144149823
18 -1.65353387479156 -75.5522889486092
18.1000000000058 -1.64358392645493 -75.5522445303473
18.1999999999971 -1.65353387479156 -75.5522001120855
18.3000000000029 -1.63363397811831 -75.5521556938236
18.3999999999942 -1.68338371980144 -75.5521112755617
18.5 -1.6883587515032 -75.5520668572998
18.6000000000058 -1.61870899807993 -75.5520224390379
18.6999999999971 -1.65850890649332 -75.551978020776
18.8000000000029 -1.7281585448497 -75.5519336025142
18.8999999999942 -1.65353387479156 -75.5518891842523
19 -1.67343377146482 -75.5478471224207
19.1000000000058 -1.65353387479156 -75.5478015212282
19.1999999999971 -1.64855895815669 -75.5477559200356
19.3000000000029 -1.64855895815669 -75.5477103188431
19.3999999999942 -1.64855895815669 -75.5476647176505
19.5 -1.69333366813807 -75.547619116458
19.6000000000058 -1.71323356481132 -75.5475735152655
19.6999999999971 -1.65850890649332 -75.5475279140729
19.8000000000029 -1.64855895815669 -75.5474823128803
19.8999999999942 -1.67840880316657 -75.5474367116878
20 -1.7032836164747 -75.5432870031659
20.1000000000058 -1.63860889475318 -75.543240310611
20.1999999999971 -1.67343377146482 -75.5431936180562
20.3000000000029 -1.72318362821483 -75.5431469255013
20.3999999999942 -1.64358392645493 -75.5431002329465
20.5 -1.64358392645493 -75.5430535403916
20.6000000000058 -1.65353387479156 -75.5430068478367
20.6999999999971 -1.61870899807993 -75.5429601552819
20.8000000000029 -1.69333366813807 -75.5429134627271
20.8999999999942 -1.67343377146482 -75.5428667701722
21 -1.68338371980144 -75.5386177476807
21.1000000000058 -1.66845885482994 -75.5385700490432
